ID,Auto Exp Max Exp,Auto Exp Max Gain,Auto Exp Target Brightness,Bin,Brightness,Capture Area Size,Capture Limit,Colour Format,Debayer Type,EndCapture,Exposure,Flip,FrameCount,Gain,Hardware Bin,High Speed Mode,Output Format,StartCapture,StartX,StartY,Temperature,TimeZone,Timestamp Frames,USB Limit,USB Port,OriginalFilename
1,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:04:10.605Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:03:59.167Z,0,0,32.9 C,+9,OFF,80,3.0,2026-01-17-0203_9-CapObj.ser.txt
2,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:05:41.131Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:05:29.694Z,0,0,32.8 C,+9,OFF,80,3.0,2026-01-17-0205_4-CapObj.ser.txt
3,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:06:40.543Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:06:29.104Z,0,0,33.1 C,+9,OFF,80,3.0,2026-01-17-0206_4-CapObj.ser.txt
4,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:08:40.764Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:08:29.327Z,0,0,33.6 C,+9,OFF,80,3.0,2026-01-17-0208_4-CapObj.ser.txt
5,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:10:40.907Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:10:29.470Z,0,0,34.1 C,+9,OFF,80,3.0,2026-01-17-0210_4-CapObj.ser.txt
6,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:12:11.090Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:11:59.653Z,0,0,34.2 C,+9,OFF,80,3.0,2026-01-17-0211_9-CapObj.ser.txt
7,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:13:31.327Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:13:19.890Z,0,0,34.2 C,+9,OFF,80,3.0,2026-01-17-0213_3-CapObj.ser.txt
8,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:14:21.076Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:14:09.628Z,0,0,34.2 C,+9,OFF,80,3.0,2026-01-17-0214_1-CapObj.ser.txt
9,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:15:40.660Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:15:29.224Z,0,0,34.3 C,+9,OFF,80,3.0,2026-01-17-0215_4-CapObj.ser.txt
10,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:16:51.102Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:16:39.664Z,0,0,34.4 C,+9,OFF,80,3.0,2026-01-17-0216_6-CapObj.ser.txt
11,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:17:40.622Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:17:29.116Z,0,0,34.4 C,+9,OFF,80,3.0,2026-01-17-0217_4-CapObj.ser.txt
12,30000ms,310,75,1,1,1608 * 1104,1000 frames,RAW16,NONE,2026-01-17T11:19:11.215Z,927us,None,1000,12,OFF,OFF,*.SER,2026-01-17T11:18:59.700Z,0,0,34.5 C,+9,OFF,80,3.0,2026-01-17-0218_9-CapObj.ser.txt
